Driver,Year,Number of Wins
Lewis Hamilton,2007,4
Lewis Hamilton,2008,9
Lewis Hamilton,2009,11
Lewis Hamilton,2010,14
Lewis Hamilton,2011,17
Lewis Hamilton,2012,21
Lewis Hamilton,2013,22
Lewis Hamilton,2014,33
Lewis Hamilton,2015,43
Lewis Hamilton,2016,53
Lewis Hamilton,2017,62
Lewis Hamilton,2018,73
Lewis Hamilton,2019,84
Lewis Hamilton,2020,95
Lewis Hamilton,2021,103
Lewis Hamilton,2022,103
Lewis Hamilton,2023,103
Michael Schumacher,1991,0
Michael Schumacher,1992,1
Michael Schumacher,1993,2
Michael Schumacher,1994,10
Michael Schumacher,1995,19
Michael Schumacher,1996,22
Michael Schumacher,1997,27
Michael Schumacher,1998,33
Michael Schumacher,1999,35
Michael Schumacher,2000,44
Michael Schumacher,2001,53
Michael Schumacher,2002,64
Michael Schumacher,2003,70
Michael Schumacher,2004,83
Michael Schumacher,2005,84
Michael Schumacher,2006,91
Michael Schumacher,2010,91
Michael Schumacher,2011,91
Michael Schumacher,2012,91
