Position,Driver,Nationality,Constructor,Points,Year
1,Kimi Raikkonen,FIN,Ferrari,110,2007
2,Lewis Hamilton,GBR,McLaren Mercedes,109,2007
3,Fernando Alonso,ESP,McLaren Mercedes,109,2007
4,Felipe Massa,BRA,Ferrari,94,2007
5,Nico Rosberg,GER,Williams Toyota,20,2007
6,Mark Webber,AUS,Red Bull Renault,10,2007
7,Sebastian Vettel,GER,STR Ferrari,6,2007
10,Daniel Ricciardo,AUS,,,2007
9,Max Verstappen,NED,,,2007
8,Jenson Button,GBR,Honda,6,2007
1,Lewis Hamilton,GBR,McLaren Mercedes,98,2008
7,Felipe Massa,BRA,Ferrari,97,2008
3,Kimi Raikkonen,FIN,Ferrari,75,2008
4,Fernando Alonso,ESP,Renault,61,2008
5,Sebastian Vettel,GER,STR Ferrari,35,2008
6,Mark Webber,AUS,Red Bull Renault,21,2008
9,Daniel Ricciardo,AUS,,,2008
10,Max Verstappen,NED,,,2008
4,Jenson Button,GBR,Honda,6,2008
8,Nico Rosberg,GER,Williams Toyota,17,2008
1,Jenson Button,GBR,Brawn Mercedes,95,2009
2,Sebastian Vettel,GER,RBR Renault,84,2009
3,Mark Webber,AUS,RBR Renault,69.5,2009
4,Lewis Hamilton,GBR,McLaren Mercedes,49,2009
5,Kimi Raikkonen,FIN,Ferrari,48,2009
6,Nico Rosberg,GER,Williams Toyota,34.5,2009
7,Fernando Alonso,ESP,Renault,26,2009
9,Felipe Massa,BRA,Ferrari,22,2009
8,Daniel Ricciardo,AUS,,,2009
10,Max Verstappen,NED,,,2009
1,Sebastian Vettel,GER,RBR Renault,256,2010
2,Fernando Alonso,ESP,Ferrari,252,2010
3,Mark Webber,AUS,RBR Renault,242,2010
4,Lewis Hamilton,GBR,McLaren Mercedes,240,2010
5,Jenson Button,GBR,McLaren Mercedes,214,2010
7,Felipe Massa,BRA,Ferrari,144,2010
8,Nico Rosberg,GER,Mercedes,142,2010
6,Kimi Raikkonen,FIN,,,2010
9,Daniel Ricciardo,AUS,,,2010
10,Max Verstappen,NED,,,2010
1,Sebastian Vettel,GER,Red Bull Racing Renault,392,2011
2,Jenson Button,GBR,McLaren Mercedes,270,2011
3,Mark Webber,AUS,Red Bull Racing Renault,258,2011
4,Fernando Alonso,ESP,Ferrari,257,2011
5,Lewis Hamilton,GBR,McLaren Mercedes,227,2011
7,Felipe Massa,BRA,Ferrari,118,2011
8,Nico Rosberg,GER,Mercedes,89,2011
6,Kimi Raikkonen,FIN,,,2011
9,Daniel Ricciardo,AUS,,,2011
10,Max Verstappen,NED,,,2011
1,Sebastian Vettel,GER,Red Bull Racing Renault,281,2012
2,Fernando Alonso,ESP,Ferrari,278,2012
3,Kimi Raikkonen,FIN,Lotus Renault,207,2012
4,Lewis Hamilton,GBR,McLaren Mercedes,190,2012
5,Jenson Button,GBR,McLaren Mercedes,188,2012
6,Mark Webber,AUS,Red Bull Racing Renault,179,2012
7,Felipe Massa,BRA,Ferrari,122,2012
9,Nico Rosberg,GER,Mercedes,93,2012
8,Daniel Ricciardo,AUS,,,2012
10,Max Verstappen,NED,,,2012
1,Sebastian Vettel,GER,Red Bull Racing Renault,397,2013
2,Fernando Alonso,ESP,Ferrari,242,2013
3,Mark Webber,AUS,Red Bull Racing Renault,199,2013
4,Lewis Hamilton,GBR,Mercedes,189,2013
5,Kimi Raikkonen,FIN,Lotus Renault,183,2013
6,Nico Rosberg,GER,Mercedes,171,2013
8,Felipe Massa,BRA,Ferrari,112,2013
9,Jenson Button,GBR,McLaren Mercedes,73,2013
7,Daniel Ricciardo,AUS,,,2013
10,Max Verstappen,NED,,,2013
1,Lewis Hamilton,GBR,Mercedes,384,2014
2,Nico Rosberg,GER,Mercedes,317,2014
3,Daniel Ricciardo,AUS,Red Bull Racing Renault,238,2014
5,Sebastian Vettel,GER,Red Bull Racing Renault,167,2014
7,Fernando Alonso,ESP,Ferrari,161,2014
8,Felipe Massa,BRA,Williams Mercedes,134,2014
10,Jenson Button,GBR,McLaren Mercedes,126,2014
6,Kimi Raikkonen,FIN,Ferrari,55,2014
9,Max Verstappen,NED,,,2014
4,Mark Webber,AUS,Red Bull Racing Renault,199,2014
1,Lewis Hamilton,GBR,Mercedes,381,2015
2,Nico Rosberg,GER,Mercedes,322,2015
3,Sebastian Vettel,GER,Ferrari,278,2015
8,Kimi Raikkonen,FIN,Ferrari,150,2015
6,Felipe Massa,BRA,Williams Mercedes,121,2015
4,Daniel Ricciardo,AUS,Red Bull Racing Renault,92,2015
7,Max Verstappen,NED,STR Renault,49,2015
9,Jenson Button,GBR,McLaren Honda,16,2015
10,Fernando Alonso,ESP,McLaren Honda,11,2015
5,Mark Webber,AUS,Red Bull Racing Renault,199,2015
1,Nico Rosberg,GER,Mercedes,385,2016
2,Lewis Hamilton,GBR,Mercedes,380,2016
3,Daniel Ricciardo,AUS,Red Bull Racing TAG Heuer,256,2016
4,Sebastian Vettel,GER,Ferrari,212,2016
5,Max Verstappen,NED,Red Bull Racing TAG Heuer,204,2016
6,Kimi Raikkonen,FIN,Ferrari,186,2016
8,Mark Webber,AUS,Red Bull Racing Renault,199,2016
7,Fernando Alonso,ESP,McLaren Honda,54,2016
9,Felipe Massa,BRA,Williams Mercedes,53,2016
10,Jenson Button,GBR,McLaren Honda,21,2016
1,Lewis Hamilton,GBR,Mercedes,363,2017
2,Sebastian Vettel,GER,Ferrari,317,2017
4,Kimi Raikkonen,FIN,Ferrari,205,2017
5,Daniel Ricciardo,AUS,Red Bull Racing TAG Heuer,200,2017
6,Max Verstappen,NED,Red Bull Racing TAG Heuer,168,2017
8,Felipe Massa,BRA,Williams Mercedes,43,2017
10,Fernando Alonso,ESP,McLaren Honda,17,2017
3,Nico Rosberg,GER,Mercedes,385,2017
7,Mark Webber,AUS,Red Bull Racing Renault,199,2017
9,Jenson Button,GBR,McLaren Honda,21,2017
1,Lewis Hamilton,GBR,Mercedes,408,2018
2,Sebastian Vettel,GER,Ferrari,320,2018
3,Kimi Raikkonen,FIN,Ferrari,251,2018
4,Max Verstappen,NED,Red Bull Racing TAG Heuer,249,2018
6,Daniel Ricciardo,AUS,Red Bull Racing TAG Heuer,170,2018
8,Fernando Alonso,ESP,McLaren Renault,50,2018
5,Nico Rosberg,GER,Mercedes,385,2018
7,Mark Webber,AUS,Red Bull Racing Renault,199,2018
9,Jenson Button,GBR,McLaren Honda,21,2018
10,Felipe Massa,BRA,Williams Mercedes,43,2018
1,Lewis Hamilton,GBR,Mercedes,413,2019
3,Max Verstappen,NED,Red Bull Racing Honda,278,2019
2,Sebastian Vettel,GER,Ferrari,240,2019
5,Daniel Ricciardo,AUS,Renault,54,2019
4,Nico Rosberg,GER,Mercedes,385,2019
6,Mark Webber,AUS,Red Bull Racing Renault,199,2019
8,Kimi Raikkonen,FIN,Ferrari,251,2019
7,Fernando Alonso,ESP,McLaren Renault,50,2019
9,Jenson Button,GBR,McLaren Honda,21,2019
10,Felipe Massa,BRA,Williams Mercedes,43,2019
1,Lewis Hamilton,GBR,Mercedes,157,2020
2,Max Verstappen,NED,Red Bull Racing Honda,110,2020
4,Daniel Ricciardo,AUS,Renault,33,2020
5,Nico Rosberg,GER,Mercedes,385,2020
6,Mark Webber,AUS,Red Bull Racing Renault,199,2020
8,Kimi Raikkonen,FIN,Ferrari,251,2020
7,Fernando Alonso,ESP,McLaren Renault,50,2020
9,Jenson Button,GBR,McLaren Honda,21,2020
10,Felipe Massa,BRA,Williams Mercedes,43,2020
3,Sebastian Vettel,GER,Ferrari,240,2020
