Country,Number of Safety Cars,Grand Prix
Argentina,2,Argentine Grand Prix
Australia,28,Australian Grand Prix
Austria,14,"Austrian Grand Prix, Styrian Grand Prix"
Azerbaijan,8,Azerbaijan Grand Prix
Bahrain,10,"Bahrain Grand Prix, Sakhir Grand Prix"
Belgium,21,Belgian Grand Prix
Brazil,23,Brazilian Grand Prix
Canada,28,Canadian Grand Prix
China,10,Chinese Grand Prix
France,3,French Grand Prix
Germany,15,"European Grand Prix, German Grand Prix, Eifel Grand Prix"
Hungary,7,Hungarian Grand Prix
Italy,18,"Italian Grand Prix, Tuscan Grand Prix, Emilia Romagna Grand Prix, San Marino Grand Prix"
Japan,13,Japanese Grand Prix
Malaysia,6,Malaysian Grand Prix
Mexico,3,Mexico City Grand Prix
Monaco,24,Monaco Grand Prix
Portugal,1,Portugese Grand Prix
Russia,7,Russian Grand Prix
Saudi Arabia,3,Saudi Arabian Grand Prix
Singapore,20,Singapore Grand Prix
South Korea,7,Korean Grand Prix
Spain,6,Spanish Grand Prix
The Netherlands,1,Dutch Grand Prix
Turkey,2,Turkish Grand Prix
United Arab Emirates,6,Abu Dhabi Grand Prix
United Kingdom,21,British Grand Prix
United States of America,10,"United States Grand Prix, Miami Grand Prix"
