Country,Number of Safety Cars at Grands Prix,Grand Prix,Latitude,Longitude
Argentina,2,Argentine Grand Prix,-34.6943,-58.4593
Australia,28,Australian Grand Prix,-37.8497,144.968
Austria,14,"Austrian Grand Prix, Styrian Grand Prix",47.2197,14.7647
Azerbaijan,8,Azerbaijan Grand Prix,40.3725,49.8533
Bahrain,10,"Bahrain Grand Prix, Sakhir Grand Prix",26.0325,50.5106
Belgium,21,Belgian Grand Prix,50.4372,5.97139
Brazil,23,Brazilian Grand Prix,-23.7036,-46.6997
Canada,28,Canadian Grand Prix,44.0481,-78.6756
China,10,Chinese Grand Prix,31.3389,121.22
France,3,French Grand Prix,43.2506,5.79167
Germany,15,"European Grand Prix, German Grand Prix, Eifel Grand Prix",49.3278,8.56583
Hungary,7,Hungarian Grand Prix,47.5789,19.2486
Italy,18,"Italian Grand Prix, Tuscan Grand Prix, Emilia Romagna Grand Prix, San Marino Grand Prix",45.6156,9.28111
Japan,13,Japanese Grand Prix,35.3717,138.927
Malaysia,6,Malaysian Grand Prix,2.76083,101.738
Mexico,3,Mexico City Grand Prix,19.4042,-99.0907
Monaco,24,Monaco Grand Prix,43.7347,7.42056
Portugal,1,Portugese Grand Prix,38.7506,-9.39417
Russia,7,Russian Grand Prix,43.4057,39.9578
Saudi Arabia,3,Saudi Arabian Grand Prix,21.6319,39.1044
Singapore,20,Singapore Grand Prix,1.2914,103.864
South Korea,7,Korean Grand Prix,34.7333,126.417
Spain,6,Spanish Grand Prix,40.6171,-3.58558
The Netherlands,1,Dutch Grand Prix,52.3888,4.54092
Turkey,2,Turkish Grand Prix,40.9517,29.405
United Arab Emirates,6,Abu Dhabi Grand Prix,24.4672,54.6031
United Kingdom,21,British Grand Prix,52.0786,-1.01694
United States of America,10,"United States Grand Prix, Miami Grand Prix",30.1328,-97.6411
