,Pos,Driver,Nationality,Car,PTS,Year
897,1,Ayrton Senna SEN,BRA,McLaren Honda,96,1991
898,2,Nigel Mansell MAN,GBR,Williams Renault,72,1991
899,3,Riccardo Patrese PAT,ITA,Williams Renault,53,1991
900,4,Gerhard Berger BER,AUT,McLaren Honda,43,1991
901,5,Alain Prost PRO,FRA,Ferrari,34,1991
902,6,Nelson Piquet PIQ,BRA,Benetton Ford,26.5,1991
903,7,Jean Alesi ALE,FRA,Ferrari,21,1991
904,8,Stefano Modena MOD,ITA,Tyrrell Honda,10,1991
905,9,Andrea de Cesaris DEC,ITA,Jordan Ford,9,1991
906,10,Roberto Moreno MOR,BRA,Minardi Ferrari,8,1991
907,11,Pierluigi Martini MAR,ITA,Minardi Ferrari,6,1991
908,12,Jyrki Jarvilehto JAR,FIN,Dallara Judd,4,1991
909,12,Bertrand Gachot GAC,FRA,Jordan Ford,4,1991
910,12,Michael Schumacher MSC,GER,Benetton Ford,4,1991
911,15,Mika Hakkinen HAK,FIN,Lotus Judd,2,1991
912,15,Martin Brundle BRU,GBR,Brabham Yamaha,2,1991
913,15,Satoru Nakajima NAK,JPN,Tyrrell Honda,2,1991
914,18,Julian Bailey BAI,GBR,Lotus Judd,1,1991
915,18,Eric Bernard BER,FRA,Lola Ford,1,1991
916,18,Ivan Capelli CAP,ITA,Leyton House Ilmor,1,1991
917,18,Aguri Suzuki SUZ,JPN,Lola Ford,1,1991
918,18,Emanuele Pirro PIR,ITA,Dallara Judd,1,1991
919,18,Mark Blundell BLU,GBR,Brabham Yamaha,1,1991
920,24,Gianni Morbidelli MOR,ITA,Ferrari,0.5,1991
921,1,Nigel Mansell MAN,GBR,Williams Renault,108,1992
922,2,Riccardo Patrese PAT,ITA,Williams Renault,56,1992
923,3,Michael Schumacher MSC,GER,Benetton Ford,53,1992
924,4,Ayrton Senna SEN,BRA,McLaren Honda,50,1992
925,5,Gerhard Berger BER,AUT,McLaren Honda,49,1992
926,6,Martin Brundle BRU,GBR,Benetton Ford,38,1992
927,7,Jean Alesi ALE,FRA,Ferrari,18,1992
928,8,Mika Hakkinen HAK,FIN,Lotus Ford,11,1992
929,9,Andrea de Cesaris DEC,ITA,Tyrrell Ilmor,8,1992
930,10,Michele Alboreto ALB,ITA,Footwork Mugen Honda,6,1992
931,11,Erik Comas COM,FRA,Ligier Renault,4,1992
932,12,Karl Wendlinger WEN,AUT,March Ilmor,3,1992
933,12,Ivan Capelli CAP,ITA,Ferrari,3,1992
934,14,Thierry Boutsen BOU,BEL,Ligier Renault,2,1992
935,15,Pierluigi Martini MAR,ITA,Dallara Ferrari,2,1992
936,16,Johnny Herbert HER,GBR,Lotus Ford,2,1992
937,17,Stefano Modena MOD,ITA,Jordan Yamaha,1,1992
938,18,Christian Fittipaldi FIT,BRA,Minardi Lamborghini,1,1992
939,19,Bertrand Gachot GAC,FRA,Venturi Lamborghini,1,1992
940,1,Alain Prost PRO,FRA,Williams Renault,99,1993
941,2,Ayrton Senna SEN,BRA,McLaren Ford,73,1993
942,3,Damon Hill HIL,GBR,Williams Renault,69,1993
943,4,Michael Schumacher MSC,GER,Benetton Ford,52,1993
944,5,Riccardo Patrese PAT,ITA,Benetton Ford,20,1993
945,6,Jean Alesi ALE,FRA,Ferrari,16,1993
946,7,Martin Brundle BRU,GBR,Ligier Renault,13,1993
947,8,Gerhard Berger BER,AUT,Ferrari,12,1993
948,9,Johnny Herbert HER,GBR,Lotus Ford,11,1993
949,10,Mark Blundell BLU,GBR,Ligier Renault,10,1993
950,11,Michael Andretti AND,USA,McLaren Ford,7,1993
951,12,Karl Wendlinger WEN,AUT,Sauber,7,1993
952,13,Christian Fittipaldi FIT,BRA,Minardi Ford,5,1993
953,13,Jyrki Jarvilehto JAR,FIN,Sauber,5,1993
954,15,Mika Hakkinen HAK,FIN,McLaren Ford,4,1993
955,16,Derek Warwick WAR,GBR,Footwork Mugen Honda,4,1993
956,17,Philippe Alliot ALL,FRA,Larrousse Lamborghini,2,1993
957,17,Rubens Barrichello BAR,BRA,Jordan Hart,2,1993
958,19,Fabrizio Barbazza BAR,ITA,Minardi Ford,2,1993
959,20,Alessandro Zanardi ZAN,ITA,Lotus Ford,1,1993
960,20,Erik Comas COM,FRA,Larrousse Lamborghini,1,1993
961,20,Eddie Irvine IRV,GBR,Jordan Hart,1,1993
962,1,Michael Schumacher MSC,GER,Benetton Ford,92,1994
963,2,Damon Hill HIL,GBR,Williams Renault,91,1994
964,3,Gerhard Berger BER,AUT,Ferrari,41,1994
965,4,Mika Hakkinen HAK,FIN,McLaren Peugeot,26,1994
966,5,Jean Alesi ALE,FRA,Ferrari,24,1994
967,6,Rubens Barrichello BAR,BRA,Jordan Hart,19,1994
968,7,Martin Brundle BRU,GBR,McLaren Peugeot,16,1994
969,8,David Coulthard COU,GBR,Williams Renault,14,1994
970,9,Nigel Mansell MAN,GBR,Williams Renault,13,1994
971,10,Jos Verstappen VER,NED,Benetton Ford,10,1994
972,11,Olivier Panis PAN,FRA,Ligier Renault,9,1994
973,12,Mark Blundell BLU,GBR,Tyrrell Yamaha,8,1994
974,13,Heinz-Harald Frentzen FRE,GER,Sauber Mercedes,7,1994
975,14,Nicola Larini LAR,ITA,Ferrari,6,1994
976,15,Christian Fittipaldi FIT,BRA,Footwork Ford,6,1994
977,16,Eddie Irvine IRV,GBR,Jordan Hart,6,1994
978,17,Ukyo Katayama KAT,JPN,Tyrrell Yamaha,5,1994
979,18,Eric Bernard BER,FRA,Lotus Mugen Honda,4,1994
980,19,Karl Wendlinger WEN,AUT,Sauber Mercedes,4,1994
981,20,Andrea de Cesaris DEC,ITA,Sauber Mercedes,4,1994
982,21,Pierluigi Martini MAR,ITA,Minardi Ford,4,1994
983,22,Gianni Morbidelli MOR,ITA,Footwork Ford,3,1994
984,23,Erik Comas COM,FRA,Larrousse Ford,2,1994
985,24,Michele Alboreto ALB,ITA,Minardi Ford,1,1994
986,25,Jyrki Jarvilehto JAR,FIN,Sauber Mercedes,1,1994
987,1,Michael Schumacher MSC,GER,Benetton Renault,102,1995
988,2,Damon Hill HIL,GBR,Williams Renault,69,1995
989,3,David Coulthard COU,GBR,Williams Renault,49,1995
990,4,Johnny Herbert HER,GBR,Benetton Renault,45,1995
991,5,Jean Alesi ALE,FRA,Ferrari,42,1995
992,6,Gerhard Berger BER,AUT,Ferrari,31,1995
993,7,Mika Hakkinen HAK,FIN,McLaren Mercedes,17,1995
994,8,Olivier Panis PAN,FRA,Ligier Mugen Honda,16,1995
995,9,Heinz-Harald Frentzen FRE,GER,Sauber Ford,15,1995
996,10,Mark Blundell BLU,GBR,McLaren Mercedes,13,1995
997,11,Rubens Barrichello BAR,BRA,Jordan Peugeot,11,1995
998,12,Eddie Irvine IRV,GBR,Jordan Peugeot,10,1995
999,13,Martin Brundle BRU,GBR,Ligier Mugen Honda,7,1995
1000,14,Gianni Morbidelli MOR,ITA,Footwork Hart,5,1995
1001,15,Mika Salo SAL,FIN,Tyrrell Yamaha,5,1995
1002,16,Jean-Christophe Boullion BOU,FRA,Sauber Ford,3,1995
1003,17,Aguri Suzuki SUZ,JPN,Ligier Mugen Honda,1,1995
1004,18,Pedro Lamy LAM,POR,Minardi Ford,1,1995
1005,1,Damon Hill HIL,GBR,Williams Renault,97,1996
1006,2,Jacques Villeneuve VIL,CAN,Williams Renault,78,1996
1007,3,Michael Schumacher MSC,GER,Ferrari,59,1996
1008,4,Jean Alesi ALE,FRA,Benetton Renault,47,1996
1009,5,Mika Hakkinen HAK,FIN,McLaren Mercedes,31,1996
1010,6,Gerhard Berger BER,AUT,Benetton Renault,21,1996
1011,7,David Coulthard COU,GBR,McLaren Mercedes,18,1996
1012,8,Rubens Barrichello BAR,BRA,Jordan Peugeot,14,1996
1013,9,Olivier Panis PAN,FRA,Ligier Mugen Honda,13,1996
1014,10,Eddie Irvine IRV,GBR,Ferrari,11,1996
1015,11,Martin Brundle BRU,GBR,Jordan Peugeot,8,1996
1016,12,Heinz-Harald Frentzen FRE,GER,Sauber Ford,7,1996
1017,13,Mika Salo SAL,FIN,Tyrrell Yamaha,5,1996
1018,14,Johnny Herbert HER,GBR,Sauber Ford,4,1996
1019,15,Pedro Diniz DIN,BRA,Ligier Mugen Honda,2,1996
1020,16,Jos Verstappen VER,NED,Footwork Hart,1,1996
1021,1,Jacques Villeneuve VIL,CAN,Williams Renault,81,1997
1022,DQ,Michael Schumacher MSC,GER,Ferrari,78,1997
1023,2,Heinz-Harald Frentzen FRE,GER,Williams Renault,42,1997
1024,3,David Coulthard COU,GBR,McLaren Mercedes,36,1997
1025,4,Jean Alesi ALE,FRA,Benetton Renault,36,1997
1026,5,Gerhard Berger BER,AUT,Benetton Renault,27,1997
1027,6,Mika Hakkinen HAK,FIN,McLaren Mercedes,27,1997
1028,7,Eddie Irvine IRV,GBR,Ferrari,24,1997
1029,8,Giancarlo Fisichella FIS,ITA,Jordan Peugeot,20,1997
1030,9,Olivier Panis PAN,FRA,Prost Mugen Honda,16,1997
1031,10,Johnny Herbert HER,GBR,Sauber Petronas,15,1997
1032,11,Ralf Schumacher RSC,GER,Jordan Peugeot,13,1997
1033,12,Damon Hill HIL,GBR,Arrows Yamaha,7,1997
1034,13,Rubens Barrichello BAR,BRA,Stewart Ford,6,1997
1035,14,Alexander Wurz WUR,AUT,Benetton Renault,4,1997
1036,15,Jarno Trulli TRU,ITA,Prost Mugen Honda,3,1997
1037,16,Mika Salo SAL,FIN,Tyrrell Ford,2,1997
1038,17,Pedro Diniz DIN,BRA,Arrows Yamaha,2,1997
1039,18,Shinji Nakano NAK,JPN,Prost Mugen Honda,2,1997
1040,19,Nicola Larini LAR,ITA,Sauber Petronas,1,1997
1041,1,Mika Hakkinen HAK,FIN,McLaren Mercedes,100,1998
1042,2,Michael Schumacher MSC,GER,Ferrari,86,1998
1043,3,David Coulthard COU,GBR,McLaren Mercedes,56,1998
1044,4,Eddie Irvine IRV,GBR,Ferrari,47,1998
1045,5,Jacques Villeneuve VIL,CAN,Williams Mecachrome,21,1998
1046,6,Damon Hill HIL,GBR,Jordan Mugen Honda,20,1998
1047,7,Heinz-Harald Frentzen FRE,GER,Williams Mecachrome,17,1998
1048,8,Alexander Wurz WUR,AUT,Benetton Playlife,17,1998
1049,9,Giancarlo Fisichella FIS,ITA,Benetton Playlife,16,1998
1050,10,Ralf Schumacher RSC,GER,Jordan Mugen Honda,14,1998
1051,11,Jean Alesi ALE,FRA,Sauber Petronas,9,1998
1052,12,Rubens Barrichello BAR,BRA,Stewart Ford,4,1998
1053,13,Mika Salo SAL,FIN,Arrows,3,1998
1054,14,Pedro Diniz DIN,BRA,Arrows,3,1998
1055,15,Johnny Herbert HER,GBR,Sauber Petronas,1,1998
1056,16,Jan Magnussen MAG,DEN,Stewart Ford,1,1998
1057,17,Jarno Trulli TRU,ITA,Prost Peugeot,1,1998
1058,18,Ricardo Rosset ROS,BRA,Tyrrell Ford,0,1998
1059,19,Olivier Panis PAN,FRA,Prost Peugeot,0,1998
1060,20,Toranosuke Takagi TAK,JPN,Tyrrell Ford,0,1998
1061,21,Shinji Nakano NAK,JPN,Minardi Ford,0,1998
1062,22,Esteban Tuero TUE,ARG,Minardi Ford,0,1998
1063,23,Jos Verstappen VER,NED,Stewart Ford,0,1998
1064,1,Mika Hakkinen HAK,FIN,McLaren Mercedes,76,1999
1065,2,Eddie Irvine IRV,GBR,Ferrari,74,1999
1066,3,Heinz-Harald Frentzen FRE,GER,Jordan Mugen Honda,54,1999
1067,4,David Coulthard COU,GBR,McLaren Mercedes,48,1999
1068,5,Michael Schumacher MSC,GER,Ferrari,44,1999
1069,6,Ralf Schumacher RSC,GER,Williams Supertec,35,1999
1070,7,Rubens Barrichello BAR,BRA,Stewart Ford,21,1999
1071,8,Johnny Herbert HER,GBR,Stewart Ford,15,1999
1072,9,Giancarlo Fisichella FIS,ITA,Benetton Playlife,13,1999
1073,10,Mika Salo SAL,FIN,Ferrari,10,1999
1074,11,Jarno Trulli TRU,ITA,Prost Peugeot,7,1999
1075,12,Damon Hill HIL,GBR,Jordan Mugen Honda,7,1999
1076,13,Alexander Wurz WUR,AUT,Benetton Playlife,3,1999
1077,14,Pedro Diniz DIN,BRA,Sauber Petronas,3,1999
1078,15,Olivier Panis PAN,FRA,Prost Peugeot,2,1999
1079,16,Jean Alesi ALE,FRA,Sauber Petronas,2,1999
1080,17,Pedro de la Rosa DLR,ESP,Arrows,1,1999
1081,18,Marc Gene GEN,ESP,Minardi Ford,1,1999
1082,1,Michael Schumacher MSC,GER,Ferrari,108,2000
1083,2,Mika Hakkinen HAK,FIN,McLaren Mercedes,89,2000
1084,3,David Coulthard COU,GBR,McLaren Mercedes,73,2000
1085,4,Rubens Barrichello BAR,BRA,Ferrari,62,2000
1086,5,Ralf Schumacher RSC,GER,Williams BMW,24,2000
1087,6,Giancarlo Fisichella FIS,ITA,Benetton Playlife,18,2000
1088,7,Jacques Villeneuve VIL,CAN,BAR Honda,17,2000
1089,8,Jenson Button BUT,GBR,Williams BMW,12,2000
1090,9,Heinz-Harald Frentzen FRE,GER,Jordan Mugen Honda,11,2000
1091,10,Jarno Trulli TRU,ITA,Jordan Mugen Honda,6,2000
1092,11,Mika Salo SAL,FIN,Sauber Petronas,6,2000
1093,12,Jos Verstappen VER,NED,Arrows Supertec,5,2000
1094,13,Eddie Irvine IRV,GBR,Jaguar Cosworth,4,2000
1095,14,Ricardo Zonta ZON,BRA,BAR Honda,3,2000
1096,15,Alexander Wurz WUR,AUT,Benetton Playlife,2,2000
1097,16,Pedro de la Rosa DLR,ESP,Arrows Supertec,2,2000
