Country,NoSafetyCars,Grand Prix,Longitude,Latitude
Austria,14,"Austrian Grand Prix
Styrian Grand Prix",14.76,47.22
Belgium,21,Belgian Grand Prix,5.97,50.44
France,3,French Grand Prix,5.79,43.25
Germany,15,"European Grand Prix
German Grand Prix
Eifel Grand Prix",8.57,49.33
Hungary,7,Hungarian Grand Prix,19.25,47.58
Italy,18,"Italian Grand Prix
Tuscan Grand Prix
Emilia Romagna Grand Prix
San Marino Grand Prix",9.28,45.62
Monaco,24,Monaco Grand Prix,7.42,43.73
Portugal,1,Portugese Grand Prix,-9.39,38.75
The Netherlands,1,Dutch Grand Prix,4.54,52.39
Turkey,2,Turkish Grand Prix,29.41,40.95
United Kingdom,21,British Grand Prix,-1.02,52.08
